Graduation Year,Role,Employer,Company's Industry,Role Category 1,Role Category 2,Role Category 3,Role Category 4,Career Webpage,Specify Other Industry,POST,Comments
2025,Junior Analyst,CMLS Financial,Finance - Investment Banking,Finance - Investment Banking,,,,,,PRE,
2025,Social Finance Analyst,Community Forward Fund,Finance - Investment Banking,Finance - Investment Banking,,,,,,POST,Started during degree
2025,Summer Intern,"Guotai Junan Securities Co., Ltd",Finance - Investment Banking,Finance - Investment Banking,,,,,,PRE,
2025,Equity Analyst Intern,Enso Gestão de Patrimônio,Wealth Management,Finance - Private Equity,,,,,,PRE,
2025,Equity Analyst Intern,Nucleo Captial,Finance - Asset Management,Finance - Private Equity,,,,,,POST,
2025,Venture Capital Investment Associate,Front Row Ventures,Finance - Private Equity,Finance - Private Equity,,,,,,PRE,
2025,Client Relations Specialist,Plenty Stores,Other,Finance - Sales and Trading,,,,,Retail,PRE,
2025,Customer Service Representative,Vancouver Bullion & Currency Exchange (VBCE),Finance - Sales and Trading,Finance - Sales and Trading,,,,,,PRE,
2025,Financial Analyst and External Sales Coordinator,BC Hydro,Sustainability/Environment,Finance - Sales and Trading,,,,,Finance- Corporate Finance,PRE,
2025,Sales Associate,Boathouse/Blackwell Supply Company ,Other,Finance - Sales and Trading,,,,,,PRE,
2025,Sales Associate,Frank and Oak,Other,Finance - Sales and Trading,,,,,Retail,PRE,
2025,Sales Associate,kate spade new york,Other,Finance - Sales and Trading,,,,,Retail,PRE,
2025,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,,,PRE,
2025,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,,,PRE,
2025,Founder,FoundHer Studio,Entrepreneurship,Government and NGO's/No-Profit Organizations (NPOs),,,,,,POST,
2025,Intern,FSD Zambia,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,,,PRE,
2025,Transformation Analyst,Community Foundations of Canada,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,,,PRE,
2025,Wildfire Prevention Co-op,BC Public Service,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,,,PRE,
2025,Youth Worker,United Nations Association of Pakistan (UNAP),Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,,,PRE,
2025,Carbon Offsets Research Assistant,UHUBOR Communications,Other,Health/Policy/Research,,,,,Software Development,PRE,
2025,Climate Policy Research Assistant,UBC School of Public Policy and Global Affairs (SPPGA),Academia,Health/Policy/Research,,,,,,PRE,
2025,COMET Project Research Assistant to Dr. Jonathan Graves,UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Equity Research Summer Associate ,Halyk Finance,Finance - Investment Banking,Health/Policy/Research,,,,,Finance-Private Equity,PRE,
2025,Junior Analyst,Global Affairs Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Junior Policy Analyst,RCAANC-CIRNAC,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,"Junior Policy Analyst, Industry Skills Directorate","Innovation, Science and Economic Development Canada",Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Junior Trade Policy Officer,Global Affairs Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Market Research Intern,Nutrition Opportunities Worldwide,Health/Policy/Research,Health/Policy/Research,,,,,Consulting,PRE,
2025,Market Research Intern,Skills For Hope Foundation ,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Market Research Intern,Lumiwealth,Data Science,Health/Policy/Research,,,,,Academia ,PRE,
2025,Policy Analyst,Pacific Economic Development Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,"Policy Analyst, Advocacy",Pacific Economic Development Canada ,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Product Research Fellow,Circonomy,Sustainability/Environment,Health/Policy/Research,,,,,,PRE,
2025,Project Researcher,UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Remote Research Support,Graduate Research Project,Health/Policy/Research,Health/Policy/Research,,,,,,PRE,
2025,Research Analyst,New Power Labs,Health/Policy/Research,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,Vancouver Local Immigration Partnership,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,Bank of Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,POST,
2025,Research Assistant,UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,UBC VSE,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,UBC VSE,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,UBC VSE,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research assistant,VSE UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,UBC REX Program,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,UBC Sauder School of Business,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,Universidad de Piura,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant,Vancouver School of Economics,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Assistant & Undergraduate Academic Assistant,VSE UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Associate,Synergia Foundation,Other,Health/Policy/Research,,,,,Think tank,PRE,
2025,Research Development Intern,Klue,Other,Health/Policy/Research,,,,,Software Development,PRE,
2025,Research Intern,REFSA - Research for SOcial Advancement,Health/Policy/Research,Health/Policy/Research,,,,,,PRE,
2025,Research Intern,Women's Economic Council,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Research Intern,Women's Economic Council,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Research Intern,Employers'​ Federation of Pakistan,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Research Intern,Delhi School of Economics,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Intern,VSE UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research Intern,UBC,Academia,Health/Policy/Research,,,,,,PRE,
2025,Research intern,Vancouver School fo Economics,Academia,Health/Policy/Research,,,,,,POST,Started during degree
2025,Summer Research Assistant,Krea University,Academia,Health/Policy/Research,,,,,,PRE,
2025,Summer Research Assistant,UBC VSE,Academia,Health/Policy/Research,,,,,,POST,
2025,Summer Research Intern,Women's Economic Council,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,,,PRE,
2025,Undergraduate Research Assistant,VSE,Academia,Health/Policy/Research,,,,,,PRE,
2025,Client Relationship Associate,Marsh Canada Limited,Insurance,Insurance,,,,,,POST,
2025,Summer Intern,Bangkok Life Assurance Public Company Limited,Insurance,Insurance,,,,,,PRE,
2025,Compliance Intern,BCI,Finance - Investment Banking,Law,,,,,,PRE,
2025,Undergraduate Legal Intern,Monroe County Public Defender,Law,Law,,,,,,PRE,
2025,Admin and Marketing Team Lead,Gold's Gym,Other,Marketing,,,,,Fitness,PRE,
2025,Artist and Tour Marketing Intern,Pennant Music Publishing,Other,Marketing,,,,,Music,PRE,
2025,Campus Ambassador,TD,Wealth Management,Marketing,,,,,,PRE,
2025,Content Creator,Alpha Women Co.,Government and NGO's/No-Profit Organizations (NPOs),Marketing,,,,,,PRE,
2025,Digital Marketing Assistant,APASS Education Group,Academia,Marketing,,,,,,PRE,
2025,Digital Marketing Intern,noDokter,Other,Marketing,,,,,Fitness,PRE,
2025,Digital Marketing Manager,Susgrainable,Other,Marketing,,,,,Food,PRE,
2025,Influencer Marketing PR Intern,HINATURE,Other,Marketing,,,,,Beauty,PRE,
2025,Management and Marketing Intern,Aspire Lifestyles,Marketing,Marketing,,,,,,PRE,
2025,Management and Marketing Intern,Aspire Lifestyles,Marketing,Marketing,,,,,,PRE,
2025,Marketing Intern,Elevate Vancouver,Other,Marketing,,,,,"Multiple (music, real estate, consulting)",PRE,
2025,Marketing Intern,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Marketing,,,,,,PRE,
2025,Marketing Intern,Daxue Consulting,Consulting,Marketing,,,,,,PRE,
2025,Marketing Manager,Tutti Mimo,Other,Marketing,,,,,Retail,PRE,
2025,"Marketing Specialist Intern, D2C",TELUS,Other,Marketing,,,,,Telecommunications,PRE,
2025,Private High School English Tutor,Self-employed,Entrepreneurship,Marketing,,,,,,PRE,
2025,Public Relations Intern,ÀLA.HAUSSE,Other,Marketing,,,,,,PRE,
2025,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Marketing,,,,,,PRE,
2025,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Marketing,,,,,,PRE,
2025,Sales And Marketing Specialist,Abenante Motor Group Inc,Other,Marketing,,,,,Automotive,PRE,
2025,Sales and Marketing Specialist,MNM Auto,Other,Marketing,,,,,Automotive,POST,Started during degree
2025,Social Media Manager,Perchance Tea & Coffee,Other,Marketing,,,,,Food/Hospitality,PRE,
2025,Student Ambassador,BC Hydro,Sustainability/Environment,Marketing,,,,,,PRE,
2025,Associate Conductor,Penang Wind Orchestra (Penang Symphony Society),Other,Other,,,,,Music,PRE,
2025,Barista,Storm City Coffee,Other,Other,,,,,Food/Hospitality,POST,
2025,Bartender,The BeachHouse Seafood and Fine Dining,Other,Other,,,,,Food/Hospitality,PRE,
2025,Business Analyst ,Scotiabank,Wealth Management,Other,,,,,Product Managment,PRE,
2025,Business Analyst Intern,Scotiabank,Wealth Management,Other,,,,,Product Managment,PRE,
2025,Business Operations Associate,Vancouver Aquarium,Other,Other,,,,,Tourism &Education/Hospitality,PRE,
2025,Cafe Crew,BeAngels Specialty Coffee,Other,Other,,,,,Food/Hospitality,PRE,
2025,Clinic Receptionist,StudioHealth -Main St- [Studio-East],Health/Policy/Research,Other,,,,,Hospitality,PRE,
2025,Collections Assistant,Kilby Historic Site,Other,Other,,,,,Museum,PRE,
2025,Concierge Attendant,Hayden Homes Amphitheater,Other,Other,,,,,Entertainment/Hospitality,PRE,
2025,Corporate Project Coordinator,ICBC ,Insurance,Other,,,,,Product Managment,PRE,
2025,Exhibit Services Ambassador,Vancouver Convention Centre,Other,Other,,,,,Hospitality,POST,Started during degree
2025,Food and Beverage Team Member,Marine Drive Golf Club,Other,Other,,,,,Food/Hospitality,POST,
2025,Food Server,ZUBU Ramen,Other,Other,,,,,Food/Hospitality,PRE,
2025,Front Desk,Cactus Club Cafe,Other,Other,,,,,Food/Hospitality,POST,Started during degree
2025,Front Desk Receptionist,Gold's Gym,Other,Other,,,,,Fitness/Hospitality,PRE,
2025,General Restaurant Services,JAPADOG,Other,Other,,,,,Food/Hospitality,PRE,
2025,Guest Experience Intern,Flyover,Other,Other,,,,,Entertainment/Hospitality,PRE,
2025,Guest Experience Intern,Flyover,Other,Other,,,,,Entertainment/Hospitality,PRE,
2025,Guest Services Coordinator,Vancouver Convention Centre,Other,Other,,,,,Hospitality,POST,Started during degree
2025,Head Muralist,Deschutes Painting Inc,Other,Other,,,,,Creative arts,PRE,
2025,In-Seat Runner,Canucks Sports & Entertainment (CSE),Other,Other,,,,,Hospitality,PRE,
2025,Junior Translator,Office Double Rainbow,Other,Other,,,,,Communications,PRE,
2025,Laborer,Zepto Contracting Ltd.,Other,Other,,,,,Construction,POST,Started during degree
2025,Landscaper,Self-employed,Entrepreneurship,Other,,,,,Labor,PRE,
2025,Landscaper,DALE CLARK,Entrepreneurship,Other,,,,,Laborer,PRE,
2025,Partnerships Development Representative,Workden.,Other,Other,,,,,Hospitality,PRE,
2025,Property Manager,Maxsky Property Management,Other,Other,,,,,Real Estate,PRE,
2025,Publishing Intern,Fintel Connect,Marketing,Other,,,,,Communications,PRE,
2025,Real Estate Intern,SV Estates,Other,Other,,,,,Real Estate,PRE,
2025,Server,Schanks Sports Grill,Other,Other,,,,,Hospitality,PRE,
2025,Ski Instructor,Grouse Mountain,Other,Other,,,,,Recreation,PRE,
2025,Smoothie Master,Body Energy Club,Other,Other,,,,,Food,PRE,
2025,Stagiare (Trainee),Safran,Other,Other,,,,,Aviation Manufacturing,PRE,
2025,Store Cashier,H Mart,Other,Other,,,,,Retail,PRE,
2025,Subtitle Creator,Freelance,Entrepreneurship,Other,,,,,Communications,POST,Started during degree
2025,Summer Intern,Digitalife Corporation,Other,Other,,,,,Tech,PRE,
2025,Supervisor,Jusbubble Cafe,Other,Other,,,,,Food/Hospitality,PRE,
2025,Supply Chain and Logistics Intern,DeeBee's Organics,Other,Other,,,,,Food/Supply Chain Logistics,PRE,
